Stop Name,Complex ID
Astoria-Ditmars Blvd,1
Astoria Blvd,2
30 Av,3
Broadway,4
36 Av,5
39 Av-Dutch Kills,6
Lexington Av/59 St,613
5 Av/59 St,8
57 St-7 Av,9
49 St,10
Times Sq-42 St,611
34 St-Herald Sq,607
28 St,13
23 St,14
14 St-Union Sq,602
8 St-NYU,16
Prince St,17
Canal St,623
City Hall,20
Cortlandt St,624
Rector St,22
Whitehall St-South Ferry,635
Court St,620
Jay St-MetroTech,636
DeKalb Av,26
Atlantic Av-Barclays Ctr,617
Union St,28
4 Av-9 St,608
Prospect Av,30
25 St,31
36 St,32
45 St,33
53 St,34
59 St,35
Bay Ridge Av,36
77 St,37
86 St,38
Bay Ridge-95 St,39
7 Av,41
Prospect Park,42
Parkside Av,43
Church Av,44
Beverley Rd,45
Cortelyou Rd,46
Newkirk Plaza,47
Avenue H,48
Avenue J,49
Avenue M,50
Kings Hwy,51
Avenue U,52
Neck Rd,53
Sheepshead Bay,54
Brighton Beach,55
Ocean Pkwy,56
W 8 St-NY Aquarium,57
Coney Island-Stillwell Av,58
9 Av,59
Fort Hamilton Pkwy,60
50 St,61
55 St,62
62 St,615
71 St,64
79 St,65
18 Av,66
20 Av,67
Bay Pkwy,68
25 Av,69
Bay 50 St,70
8 Av,71
New Utrecht Av,615
121 St,80
111 St,81
104 St,82
Woodhaven Blvd,83
85 St-Forest Pkwy,84
75 St-Elderts Ln,85
Cypress Hills,86
Crescent St,87
Norwood Av,88
Cleveland St,89
Van Siclen Av,90
Alabama Av,91
Broadway Junction,621
Chauncey St,93
Halsey St,94
Gates Av,95
Kosciuszko St,96
Myrtle Av,97
Flushing Av,98
Lorimer St,99
Hewes St,100
Marcy Av,101
Delancey St-Essex St,625
Bowery,103
Chambers St,622
Fulton St,628
Broad St,107
Middle Village-Metropolitan Av,108
Fresh Pond Rd,109
Forest Av,110
Seneca Av,111
Myrtle-Wyckoff Avs,630
Knickerbocker Av,113
Central Av,114
6 Av,601
3 Av,118
1 Av,119
Bedford Av,120
Graham Av,122
Grand St,123
Montrose Av,124
Morgan Av,125
Jefferson St,126
Wilson Av,130
Bushwick Av-Aberdeen St,131
Atlantic Av,133
Sutter Av,134
Livonia Av,135
New Lots Av,136
East 105 St,137
Canarsie-Rockaway Pkwy,138
Franklin Av,627
Park Pl,141
Botanic Garden,626
Inwood-207 St,143
Dyckman St,144
190 St,145
181 St,146
175 St,147
168 St,605
163 St-Amsterdam Av,149
155 St,150
145 St,151
135 St,152
125 St,153
116 St,154
Cathedral Pkwy (110 St),155
103 St,156
96 St,157
81 St-Museum of Natural History,159
72 St,160
59 St-Columbus Circle,614
42 St-Port Authority Bus Terminal,611
34 St-Penn Station,164
14 St,618
W 4 St-Wash Sq,167
Spring St,168
World Trade Center,624
High St,173
Hoyt-Schermerhorn Sts,175
Lafayette Av,176
Clinton-Washington Avs,177
Nostrand Av,179
Kingston-Throop Avs,180
Utica Av,181
Ralph Av,182
Rockaway Av,183
Liberty Av,185
Shepherd Av,187
Euclid Av,188
Grant Av,189
80 St,190
88 St,191
Rockaway Blvd,192
Ozone Park-Lefferts Blvd,195
Aqueduct Racetrack,196
Aqueduct-N Conduit Av,197
Howard Beach-JFK Airport,198
Broad Channel,199
Beach 90 St,200
Beach 98 St,201
Beach 105 St,202
Rockaway Park-Beach 116 St,203
Beach 67 St,204
Beach 60 St,205
Beach 44 St,206
Beach 36 St,207
Beach 25 St,208
Far Rockaway-Mott Av,209
Norwood-205 St,210
Bedford Park Blvd,211
Kingsbridge Rd,212
Fordham Rd,213
182-183 Sts,214
Tremont Av,215
174-175 Sts,216
170 St,217
167 St,218
161 St-Yankee Stadium,604
21 St-Queensbridge,221
Roosevelt Island,222
Lexington Av/63 St,223
57 St,224
47-50 Sts-Rockefeller Ctr,225
42 St-Bryant Pk,609
Broadway-Lafayette St,619
2 Av,232
East Broadway,234
York St,235
Bergen St,236
Carroll St,237
Smith-9 Sts,238
15 St-Prospect Park,241
Ditmas Av,244
Avenue I,246
Avenue N,248
Avenue P,249
Avenue X,252
Neptune Av,253
Jamaica-179 St,254
169 St,255
Parsons Blvd,256
Sutphin Blvd,257
Briarwood,258
